a1,a/
so2li0ta1ɾjo0,so/li/ta/rio/
so1lo0,só/lo/
so0lu1θjo0n,so/lu/ció/n
so0mbɾe1ɾo0,so/mbre/ro/
so1n,so/n
so1na0ɾ,so/na/r
so0nri1sa0,so/nri/sa/
so1ɲa0ɾ,so/ña/r
so0po1ɾta0ɾ,so/po/rta/r
so0ɾpɾe1sa0,so/rpre/sa/
su1,su/
swa1βe0,sua/ve/
su0θe1ðe0ɾ,su/ce/de/r
swe1lo0,sue/lo/
swe1ɲo0,sue/ño/
su2fi0θje1nte0,su/fi/cie/nte/
su0fi1xo0,su/fi/jo/
su0xe1ɾi0ɾ,su/ge/ri/r
su0xe1to0,su/je/to/
su2mi0ni1stɾo0,su/mi/ni/stro/
su2pe0ɾfi1θje0,su/pe/rfi/cie/
su1ɾ,su/r
su0sta1nθja0,su/sta/ncia/
su2sta0nti1βo0,su/sta/nti/vo/
ta1βla0,ta/bla/
ta1l,ta/l
ta0ma1ɲo0,ta/ma/ño/
ta1mbje0n,ta/mbié/n
ta1ɾðe0,ta/rde/
ta0ɾxe1ta0,ta/rje/ta/
te0mpe2ɾa0tu1ɾa0,te/mpe/ra/tu/ra/
te2mpo0ɾa1ða0,te/mpo/ra/da/
te0mpɾa1na0,te/mpra/na/
te1ne0ɾ,te/ne/r
te0ni1ðo0,te/ni/do/
te0ɾθe1ɾo0,te/rce/ro/
tje1mpo0,tie/mpo/
tje1nda0,tie/nda/
tje1ne0,tie/ne/
tje1ra0,tie/rra/
ti1po0,ti/po/
to1ka0ɾ,to/ca/r
to2ða0βi1a0,to/da/vía/
to1ðo0,to/do/
to1ma0ɾ,to/ma/r
to1mo0,to/mó/
to1no0,to/no/
to0ta1le0s,to/ta/le/s
tɾa0βa1xo0,tra/ba/jo/
tɾa1e0ɾ,tra/e/r
tɾa0i1ðo0,tra/í/do/
tɾa1xe0,tra/je/
tɾa1mo0,tra/mo/
tɾa0ŋki1la0,tra/nqu/i/la/
tɾa1ta0ɾ,tra/ta/r
tɾe1n,tre/n
tɾe1s,tre/s
tɾja0ŋgu1lo0,triá/ngu/lo/
tu1βo0,tu/bo/
u0lti1mo0,ú/lti/mo/
u1n,u/n
u0ni1ða0ð,u/ni/da/d
u0ni1ɾse0,u/ni/rse/
u1no0,u/no/
u1so0,u/so/
u1ste0ð,u/ste/d
ba1ka0,va/ca/
ba1ʎe0,va/lle/
ba1lo0ɾ,va/lo/r
ba1po0ɾ,va/po/r
ba1ɾja0ɾ,va/ria/r
ba1ɾjo0s,va/rio/s
be0θi1no0,ve/ci/no/
be0i1nte0,ve/i/nte/
be1la0,ve/la/
be2lo0θi1ða0ð,ve/lo/ci/da/d
be1nde0ɾ,ve/nde/r
be1ni0ɾ,ve/ni/r
be0nta1na0,ve/nta/na/
be1ɾ,ve/r
be0ɾa1no0,ve/ra/no/
be1ɾβo0,ve/rbo/
be2ɾða0ðe1ɾo0,ve/rda/de/ro/
be1ɾðe0,ve/rde/
be0sti1ðo0,ve/sti/do/
be1sti0ɾ,ve/sti/r
bja1xe0,via/je/
bja1xe0s,via/je/s
bi1ða0,vi/da/
bi1ðɾjo0,vi/drio/
bje1xo0,vie/jo/
bje1nto0,vie/nto/
bi1no0,vi/no/
bi0si1ta0,vi/si/ta/
bi1sta0,vi/sta/
bi1βi0ɾ,vi/vi/r
bo1ka0l,vo/ca/l
bo1la0ɾ,vo/la/r
bo1θ,vo/z
i1,y/
θa0pa1to0,za/pa/to/
θo1na0,zo/na/
