aː1bmt,A/bend
po2zi0tsi0oː1n,Po/si/ti/o/n
taː1t#za2xe0,Ta/t#sa/che/
va2ʁi0iː1ʁe0n,va/ri/ie/re/n
baɔ1m#vɔ1le0,Bau/m#wo/lle/
dɪ2sku0tiː1ʁe0n,di/sku/tie/re/n
ɛ2m#pfa1ŋe0n,e/m#pfa/nge/n
fɔ1l#ʃtɛ2ndɪ0ç,vo/ll#stä/ndi/g
ɡə2maɛ1n#zaː2m,ge/mei/n#sa/m
ɪ2nte0ʁɛ1se0,I/nte/re/sse/
ma2teː1ʁi2e0,Ma/te/ri/e/
pʁo2du0tsiː1ʁe0n,pro/du/zie/re/n
toː1n#høː2e0,To/n#höh/e/
ʊ2ntɐ0ʃtʏ1tsʊ0ŋ,U/nter/stü/tzu/ng
mʊ0lti0pli0tsiː1ʁe0n,mu/lti/pli/zie/re/n
tɛ2mpe0ʁa0tuː1ɐ0,Te/mp/era/tu/r/
buː2x#ʃta2biː1ʁe0n,bu/ch#sta/bie/re/n
fɐ2a1n#ʃta2ltʊ0ŋ,Ver/a/n#sta/ltu/ng
fɐ2ɡa1ŋe0n#haɛ2t,Ver/ga/nge/n#hei/t
ɡə2ʃvɪ1ndɪ0ç#kaɛ2t,Ge/schwi/ndi/g#kei/t
lo2ka0li0ziː1ʁe0n,lo/ka/li/sie/re/n
pʁo2to0kɔ0liː1ʁe0n,pro/to/ko/llie/re/n
vaː2ʁ#ʃaɛ1n#lɪ0ç,wah/r#schei/n#li/ch
zʊ2p#tʁa0hiː1ʁe0n,su/b#tra/hie/re/n
ɪ2ns#be0zɔ1nde0ʁe0,i/ns#be/so/nde/re/
