æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
hʌŋɡɹɪ:hungry;hʌ:hu,ŋɡɹɪ:ngry;~ʌ~ɪ~
hɑnəluluz:honolulu's;hɑ:ho,nə:no,lu:lu,lu:lu,z:'s;~ɑ~ə~u~u~1,~
hɛzəteɪʃən:hesitation;hɛ:he,zə:si,teɪ:ta,ʃə:tio,n:n;~ɛ~ə~eɪ~ə~1,~
hɔɹəzɑntəl:horizontal;hɔ:ho,ɹə:ri,zɑ:zo,ntə:nta,l:l;~ɔ~ə~ɑ~ə~1,~
həʊtɛl:hotel;həʊ:ho,tɛ:te,l:l;~əʊ~ɛ~2,~
ikwɔl:equal;i:e,kwɔ:qua,l:l;~i~ɔ~1,~
ist:east;i:ea,st:st;~i~1,~
istəɹn:eastern;i:ea,stə:ste,ɹn:rn;~i~ə~1,~
it:eat;i:ea,t:t;~i~1,~
itʃ:each;i:ea,tʃ:ch;~i~1,~
itən:eaten;i:ea,tə:te,n:n;~i~ə~1,~
ivn:even;i:e,vn:ven;~i~1,~
ivnɪŋ:evening;i:e,vnɪ:veni,ŋ:ng;~i~ɪ~1,~
ivəl:evil;i:e,və:vi,l:l;~i~ə~1,~
iz:ease;i:ea,z:se;~i~1,~
izɪ:easy;i:ea,zɪ:sy;~i~ɪ~
izəlɪ:easily;i:ea,zə:si,lɪ:ly;~i~ə~ɪ~
iðəɹ:either;i:ei,ðə:the,ɹ:r;~i~ə~1,~
iə:ear;i:ea,ə:r;~i~ə~
iɡəɹ:eager;i:ea,ɡə:ge,ɹ:r;~i~ə~1,~
juɹ:you're;ju:you,ɹ:'re;~u~1,~
jʊnoʊ:y'know;jʊ:y',noʊ:know;~ʊ~oʊ~
kæmpeɪn:campaign;kæ:ca,mpeɪ:mpai,n:gn;~æ~eɪ~2,~
kæɹɪə:career;kæ:ca,ɹɪ:ree,ə:r;~æ~ɪ~ə~
kælkyəleɪt:calculate;kæ:ca,lkyə:lcu,leɪ:la,t:te;~æ~ə~eɪ~1,~
kælkyəleɪtəɹ:calculator;kæ:ca,lkyə:lcu,leɪ:la,tə:to,ɹ:r;~æ~ə~eɪ~ə~1,~
kæləmaɪnz:calamine's;kæ:ca,lə:la,maɪ:mi,nz:ne's;~æ~ə~aɪ~1,~
kæmbɛl:campbell;kæ:ca,mbɛ:mpbe,l:ll;~æ~ɛ~1,~
kæmp:camp;kæ:ca,mp:mp;~æ~1,~
kæmɛɹə:camera;kæ:ca,mɛ:me,ɹə:ra;~æ~ɛ~ə~
kæn:can;kæ:ca,n:n;~æ~1,~
kændl:candle;kæ:ca,ndl:ndle;~æ~1,~
kænsəɹ:cancer;kæ:ca,nsə:nce,ɹ:r;~æ~ə~1,~
kænt:can't;kæ:ca,nt:n't;~æ~1,~
kænt:kandt;kæ:ka,nt:ndt;~æ~1,~
kænədə:canada;kæ:ca,nə:na,də:da;~æ~ə~ə~
kæp:cap;kæ:ca,p:p;~æ~1,~
kæptɛn:captain;kæ:ca,ptɛ:ptai,n:n;~æ~ɛ~1,~
kæpɪtəl:capital;kæ:ca,pɪ:pi,tə:ta,l:l;~æ~ɪ~ə~2,~
kæsl:castle;kæ:ca,sl:stle;~æ~1,~
kæsɪs:kassis;kæ:ka,sɪ:ssi,s:s;~æ~ɪ~1,~
kæt:cat;kæ:ca,t:t;~æ~1,~
kætl:cattle;kæ:ca,tl:ttle;~æ~1,~
kætʃ:catch;kæ:ca,tʃ:tch;~æ~1,~
kawəɹdəs:cowardice;ka:co,wə:wa,ɹdə:rdi,s:ce;~a~ə~ə~1,~
kæɹæktəɹ:character;kæ:cha,ɹæ:ra,ktə:cte,ɹ:r;~æ~æ~ə~1,~
kæɹɪ:carry;kæ:ca,ɹɪ:rry;~æ~ɪ~
kælkyʊleɪʃən:calculation;kæ:ca,lkyʊ:lcu,leɪ:la,ʃə:tio,n:n;~æ~ʊ~eɪ~ə~1,~
kaʊ:cow;kaʊ:cow;~aʊ~
kaɪnd:kind;kaɪ:ki,nd:nd;~aɪ~1,~
kaɪndz:kinds;kaɪ:ki,ndz:nds;~aɪ~1,~
kaʊnsəl:council;kaʊ:cou,nsə:nci,l:l;~aʊ~ə~2,~
kaʊnt:count;kaʊ:cou,nt:nt;~aʊ~1,~
kaʊntɪ:county;kaʊ:cou,ntɪ:nty;~aʊ~ɪ~
kaʊntəɹfɪtəɹz:counterfeiters;kaʊ:cou,ntə:nte,ɹ:r,fɪ:fei,tə:te,ɹz:rs;~aʊ~ə~1,~ɪ~ə~1,~
kaʊnəɹtʃɑɹdʒɪz:countercharges;kaʊ:cou,nə:nte,ɹ:r,tʃɑ:cha,ɹdʒɪ:rge,z:s;~aʊ~ə~1,~ɑ~ɪ~1,~
kaɪnəɹ:kiner;kaɪ:ki,nə:ne,ɹ:r;~aɪ~ə~1,~
keɪ:kay;keɪ:kay;~eɪ~
keɪ:quai;keɪ:quai;~eɪ~
keɪdʒ:cage;keɪ:ca,dʒ:ge;~eɪ~1,~
keɪk:cake;keɪ:ca,k:ke;~eɪ~1,~
keɪm:came;keɪ:ca,m:me;~eɪ~1,~
keɪnz:keynes;keɪ:key,nz:nes;~eɪ~1,~
keɪp:cape;keɪ:ca,p:pe;~eɪ~1,~
keɪs:case;keɪ:ca,s:se;~eɪ~1,~
keɪsɪz:cases;keɪ:ca,sɪ:se,z:s;~eɪ~ɪ~2,~
keɪv:cave;keɪ:ca,v:ve;~eɪ~1,~
keɪzəɹ:kayser;keɪ:kay,zə:se,ɹ:r;~eɪ~ə~1,~
ki:key;ki:key;~i~
kin:keen;ki:kee,n:n;~i~1,~
kip:keep;ki:kee,p:p;~i~1,~
kiz:kee's;ki:kee,z:'s;~i~1,~
klæs:class;klæ:cla,s:ss;~æ~1,~
klæsp:clasp;klæ:cla,sp:sp;~æ~1,~
klæsəfaɪ:classify;klæ:cla,sə:ssi,faɪ:fy;~æ~ə~aɪ~
klæsəfəkeɪʃən:classification;klæ:cla,sə:ssi,fə:fi,keɪ:ca,ʃə:tio,n:n;~æ~ə~ə~eɪ~ə~1,~
klaʊd:cloud;klaʊ:clou,d:d;~aʊ~1,~
klaɪm:climb;klaɪ:cli,m:mb;~aɪ~1,~
klaɪmət:climate;klaɪ:cli,mə:ma,t:te;~aɪ~ə~1,~
klaɪənt:client;klaɪ:cli,ə:e,nt:nt;~aɪ~ə~1,~
kleɪ:clay;kleɪ:clay;~eɪ~
kleɪm:claim;kleɪ:clai,m:m;~eɪ~1,~
klin:clean;kli:clea,n:n;~i~1,~
kliʃeɪd:cliched;kli:cli,ʃeɪ:che,d:d;~i~eɪ~1,~
kloʊs:close;kloʊ:clo,s:se;~oʊ~1,~
kloʊð:clothe;kloʊ:clo,ð:the;~oʊ~1,~
kloʊðz:clothes;kloʊ:clo,ðz:thes;~oʊ~1,~
kloʊðɪŋ:clothing;kloʊ:clo,ðɪ:thi,ŋ:ng;~oʊ~ɪ~1,~
klʌb:club;klʌ:clu,b:b;~ʌ~2,~
klɪf:cliff;klɪ:cli,f:ff;~ɪ~1,~
klɑkwɜɹk:clockwork;klɑ:clo,k:ck,wɜ:wo,ɹk:rk;~ɑ~1,~ɜ~1,~
klɪk:click;klɪ:cli,k:ck;~ɪ~2,~
klɑk:clock;klɑ:clo,k:ck;~ɑ~1,~
klʌkɪŋ:clucking;klʌ:clu,kɪ:cki,ŋ:ng;~ʌ~ɪ~1,~
klɛvəɹ:clever;klɛ:cle,və:ve,ɹ:r;~ɛ~ə~1,~
klɔθ:cloth;klɔ:clo,θ:th;~ɔ~1,~
klɪə:clear;klɪ:clea,ə:r;~ɪ~ə~
klɜɹk:clerk;klɜ:cle,ɹk:rk;~ɜ~1,~
klʌŋkəɹz:clunkers;klʌ:clu,ŋkə:nke,ɹz:rs;~ʌ~ə~1,~
koʊbɔlt:cobalt;koʊ:co,bɔ:ba,lt:lt;~oʊ~ɔ~1,~
koʊd:code;koʊ:co,d:de;~oʊ~1,~
koʊl:coal;koʊ:coa,l:l;~oʊ~1,~
koʊld:cold;koʊ:co,ld:ld;~oʊ~1,~
koʊlt:colt;koʊ:co,lt:lt;~oʊ~1,~
koʊm:comb;koʊ:co,m:mb;~oʊ~1,~
koʊn:cohn;koʊ:coh,n:n;~oʊ~1,~
koʊnən:kohnen;koʊ:koh,nə:ne,n:n;~oʊ~ə~1,~
koʊst:coast;koʊ:coa,st:st;~oʊ~1,~
koʊt:coat;koʊ:coa,t:t;~oʊ~1,~
koʊəlɛsɪz:coalesces;koʊ:co,ə:a,lɛ:le,sɪ:sce,z:s;~oʊ~ə~ɛ~ɪ~1,~
koʊəlɪʃənz:coalitions;koʊ:co,ə:a,lɪ:li,ʃə:tio,nz:ns;~oʊ~ə~ɪ~ə~1,~
kul:cool;ku:coo,l:l;~u~1,~
kulz:cools;ku:coo,lz:ls;~u~1,~
kwaɪt:quite;kwaɪ:qui,t:te;~aɪ~1,~
kwaɪɛt:quiet;kwaɪ:qui,ɛ:e,t:t;~aɪ~ɛ~1,~
kweɪzaɪ:quasi;kweɪ:qua,zaɪ:si;~eɪ~aɪ~
kwin:queen;kwi:quee,n:n;~i~1,~
kwɪklɪ:quickly;kwɪ:qui,k:ck,lɪ:ly;~ɪ~1,~ɪ~
kwɪk:quick;kwɪ:qui,k:ck;~ɪ~1,~
kwɑləfaɪ:qualify;kwɑ:qua,lə:li,faɪ:fy;~ɑ~ə~aɪ~
kwɑləfaɪɪŋ:qualifying;kwɑ:qua,lə:li,faɪ:fy,ɪ:i,ŋ:ng;~ɑ~ə~aɪ~ɪ~1,~
kwɑlətɪ:quality;kwɑ:qua,lə:li,tɪ:ty;~ɑ~ə~ɪ~
kwɑn:kuan;kwɑ:kua,n:n;~ɑ~1,~
kwɑntətɪ:quantity;kwɑ:qua,ntə:nti,tɪ:ty;~ɑ~ə~ɪ~
kwɛstʃən:question;kwɛ:que,stʃə:stio,n:n;~ɛ~ə~1,~
kwɛstʃənz:questions;kwɛ:que,stʃə:stio,nz:ns;~ɛ~ə~1,~
kwɑsɪ:quasi;kwɑ:qua,sɪ:si;~ɑ~ɪ~
kwɔɹt:quart;kwɔ:qua,ɹt:rt;~ɔ~1,~
kwɔɹtəɹ:quarter;kwɔ:qua,ɹtə:rte,ɹ:r;~ɔ~ə~1,~
kwɔɹtəɹbæk:quarterback;kwɔ:qua,ɹtə:rte,ɹbæ:rba,k:ck;~ɔ~ə~æ~1,~
kwɔɹəl:quarrel;kwɔ:qua,ɹə:rre,l:l;~ɔ~ə~1,~
kwɑləfəkeɪʃən:qualification;kwɑ:qua,lə:li,fə:fi,keɪ:ca,ʃə:tio,n:n;~ɑ~ə~ə~eɪ~ə~1,~
kwɑlɪteɪtɪvlɪ:qualitatively;kwɑ:qua,lɪ:li,teɪ:ta,tɪ:ti,vlɪ:vely;~ɑ~ɪ~eɪ~ɪ~ɪ~
kyusəʊ:cuso;kyu:cu,səʊ:so;~u~əʊ~
kyʊə:cure;kyʊ:cu,ə:re;~ʊ~ə~
kyʊɹɪəs:curious;kyʊ:cu,ɹɪ:ri,ə:ou,s:s;~ʊ~ɪ~ə~1,~
kəlɛkt:collect;kə:co,lɛ:lle,kt:ct;~ə~ɛ~1,~
kəlɛktəɹ:collector;kə:co,lɛ:lle,ktə:cto,ɹ:r;~ə~ɛ~ə~1,~
kəlɛkʃən:collection;kə:co,lɛ:lle,kʃə:ctio,n:n;~ə~ɛ~ə~2,~
kəlɑmbʌs:columbus;kə:co,lɑ:lu,mbʌ:mbu,s:s;~ə~ɑ~ʌ~1,~
kəlɑmətəɹ:kilometer;kə:ki,lɑ:lo,mə:me,tə:te,ɹ:r;~ə~ɑ~ə~ə~1,~
kəlɪɡɹəfɪ:calligraphy;kə:ca,lɪ:lli,ɡɹə:gra,fɪ:phy;~ə~ɪ~ə~ɪ~
kəmænd:command;kə:co,mæ:mma,nd:nd;~ə~æ~1,~
kəmbaɪnəbl:combinable;kə:co,mbaɪ:mbi,nə:na,bl:ble;~ə~aɪ~ə~1,~
kəmpænyənʃɪp:companionship;kə:co,mpæ:mpa,nyə:nio,nʃɪ:nshi,p:p;~ə~æ~ə~ɪ~1,~
kəmpænɪən:companion;kə:co,mpæ:mpa,nɪ:ni,ə:o,n:n;~ə~æ~ɪ~ə~1,~
kəmpæʃən:compassion;kə:co,mpæ:mpa,ʃə:ssio,n:n;~ə~æ~ə~1,~
kəmpit:compete;kə:co,mpi:mpe,t:te;~ə~i~1,~
kəmpleɪn:complain;kə:co,mpleɪ:mplai,n:n;~ə~eɪ~1,~
kəmpleɪnt:complaint;kə:co,mpleɪ:mplai,nt:nt;~ə~eɪ~1,~
kəmplit:complete;kə:co,mpli:mple,t:te;~ə~i~2,~
kəmplitlɪ:completely;kə:co,mpli:mple,tlɪ:tely;~ə~i~ɪ~
kəmpliʃən:completion;kə:co,mpli:mple,ʃə:tio,n:n;~ə~i~ə~1,~
kəmpoʊz:compose;kə:co,mpoʊ:mpo,z:se;~ə~oʊ~1,~
kəmpyutəɹ:computer;kə:co,mpyu:mpu,tə:te,ɹ:r;~ə~u~ə~1,~
kəmpyutəɹz:computers;kə:co,mpyu:mpu,tə:te,ɹz:rs;~ə~u~ə~1,~
kəmpɛtətəɹ:competitor;kə:co,mpɛ:mpe,tə:ti,tə:to,ɹ:r;~ə~ɛ~ə~ə~1,~
kəmpɛə:compare;kə:co,mpɛ:mpa,ə:re;~ə~ɛ~ə~
kəmpɛɹəsən:comparison;kə:co,mpɛ:mpa,ɹə:ri,sə:so,n:n;~ə~ɛ~ə~ə~1,~
kəmyunətɪ:community;kə:co,myu:mmu,nə:ni,tɪ:ty;~ə~u~ə~ɪ~
kəmyunəkeɪʃən:communication;kə:co,myu:mmu,nə:ni,keɪ:ca,ʃə:tio,n:n;~ə~u~ə~eɪ~ə~1,~
kəmɪt:commit;kə:co,mɪ:mmi,t:t;~ə~ɪ~1,~
kəmɪtɪ:committee;kə:co,mɪ:mmi,tɪ:ttee;~ə~ɪ~ɪ~
kəmɪtɪd:committed;kə:co,mɪ:mmi,tɪ:tte,d:d;~ə~ɪ~ɪ~1,~
kəmɪtɪŋ:committing;kə:co,mɪ:mmi,tɪ:tti,ŋ:ng;~ə~ɪ~ɪ~1,~
kəmɪʃən:commission;kə:co,mɪ:mmi,ʃə:ssio,n:n;~ə~ɪ~ə~1,~
kəmɜɹʃəl:commercial;kə:co,mɜ:mme,ɹʃə:rcia,l:l;~ə~ɜ~ə~1,~
kəmɛməɹeɪʃən:commemoration;kə:co,mɛ:mme,mə:mo,ɹeɪ:ra,ʃə:tio,n:n;~ə~ɛ~ə~eɪ~ə~1,~
kənæl:canal;kə:ca,næ:na,l:l;~ə~æ~1,~
kəndʌkts:conducts;kə:co,ndʌ:ndu,kts:cts;~ə~ʌ~1,~
kəndɪʃən:condition;kə:co,ndɪ:ndi,ʃə:tio,n:n;~ə~ɪ~ə~1,~
kəndɪʃənz:conditions;kə:co,ndɪ:ndi,ʃə:tio,nz:ns;~ə~ɪ~ə~2,~
kəndɪʃənəlɪ:conditionally;kə:co,ndɪ:ndi,ʃə:tio,nə:na,lɪ:lly;~ə~ɪ~ə~ə~ɪ~
kənfyuz:confuse;kə:co,nfyu:nfu,z:se;~ə~u~1,~
kənfyuʒən:confusion;kə:co,nfyu:nfu,ʒə:sio,n:n;~ə~u~ə~1,~
kənfɛs:confess;kə:co,nfɛ:nfe,s:ss;~ə~ɛ~1,~
kənfɛʃən:confession;kə:co,nfɛ:nfe,ʃə:ssio,n:n;~ə~ɛ~ə~1,~
kənkɑkʃənz:concoctions;kə:co,nkɑ:nco,kʃə:ctio,nz:ns;~ə~ɑ~ə~1,~
kənstɹʌkʃən:construction;kə:co,nstɹʌ:nstru,kʃə:ctio,n:n;~ə~ʌ~ə~2,~
kənsɪdəɹ:consider;kə:co,nsɪ:nsi,də:de,ɹ:r;~ə~ɪ~ə~2,~
kənsɪdəɹd:considered;kə:co,nsɪ:nsi,də:de,ɹd:red;~ə~ɪ~ə~2,~
kənsɪst:consist;kə:co,nsɪ:nsi,st:st;~ə~ɪ~1,~
kənsɜɹn:concern;kə:co,nsɜ:nce,ɹn:rn;~ə~ɜ~1,~
kənsɜɹnɪŋ:concerning;kə:co,nsɜ:nce,ɹnɪ:rni,ŋ:ng;~ə~ɜ~ɪ~1,~
kənsɛpsɪoʊn:concepcion;kə:co,nsɛ:nce,psɪ:pci,oʊ:o,n:n;~ə~ɛ~ɪ~oʊ~1,~
kəntæməneɪʃən:contamination;kə:co,ntæ:nta,mə:mi,neɪ:na,ʃə:tio,n:n;~ə~æ~ə~eɪ~ə~1,~
kənteɪn:contain;kə:co,nteɪ:ntai,n:n;~ə~eɪ~1,~
kəntɪnyu:continue;kə:co,ntɪ:nti,nyu:nue;~ə~ɪ~u~
kəntɪnyuəs:continuous;kə:co,ntɪ:nti,nyu:nu,ə:ou,s:s;~ə~ɪ~u~ə~1,~
kəntɹoʊl:control;kə:co,ntɹoʊ:ntro,l:l;~ə~oʊ~1,~
kəntɹoʊləɹz:controllers;kə:co,ntɹoʊ:ntro,lə:lle,ɹz:rs;~ə~oʊ~ə~1,~
kənvinɪɛns:convenience;kə:co,nvi:nve,nɪ:ni,ɛ:e,ns:nce;~ə~i~ɪ~ɛ~1,~
kənvinɪɛnt:convenient;kə:co,nvi:nve,nɪ:ni,ɛ:e,nt:nt;~ə~i~ɪ~ɛ~1,~
kənɛkt:connect;kə:co,nɛ:nne,kt:ct;~ə~ɛ~1,~
kənɛktɪd:connected;kə:co,nɛ:nne,ktɪ:cte,d:d;~ə~ɛ~ɪ~1,~
kənɛkʃən:connection;kə:co,nɛ:nne,kʃə:ctio,n:n;~ə~ɛ~ə~1,~
kənɡɹætʃəleɪt:congratulate;kə:co,nɡɹæ:ngra,tʃə:tu,leɪ:la,t:te;~ə~æ~ə~eɪ~1,~
kənɡɹætʃəleɪʃən:congratulation;kə:co,nɡɹæ:ngra,tʃə:tu,leɪ:la,ʃə:tio,n:n;~ə~æ~ə~eɪ~ə~1,~
kɪsɪmɪ:kissimmee;kɪ:ki,sɪ:ssi,mɪ:mmee;~ɪ~ɪ~ɪ~
kɔɹnilyɪs:cornelious;kɔ:co,ɹni:rne,lyɪ:liou,s:s;~ɔ~i~ɪ~1,~
kəɹteɪlmənts:curtailments;kə:cu,ɹteɪ:rtai,lmə:lme,nts:nts;~ə~eɪ~ə~1,~
kəɹɛkt:correct;kə:co,ɹɛ:rre,kt:ct;~ə~ɛ~1,~
kəɹɪkyəlɜɹ:curricular;kə:cu,ɹɪ:rri,kyə:cu,lɜ:la,ɹ:r;~ə~ɪ~ə~ɜ~1,~
kəɹɛkʃən:correction;kə:co,ɹɛ:rre,kʃə:ctio,n:n;~ə~ɛ~ə~1,~
kəɹɪə:career;kə:ca,ɹɪ:ree,ə:r;~ə~ɪ~ə~
kʌbəɹd:cupboard;kʌ:cu,bə:pboa,ɹd:rd;~ʌ~ə~1,~
kʊd:could;kʊ:cou,d:ld;~ʊ~1,~
kʌd:cudd;kʌ:cu,d:dd;~ʌ~1,~
kɪd:kid;kɪ:ki,d:d;~ɪ~1,~
kɪdz:kids;kɪ:ki,dz:ds;~ɪ~1,~
kɑf:cough;kɑ:cou,f:gh;~ɑ~1,~
kɑfɪ:coffee;kɑ:co,fɪ:ffee;~ɑ~ɪ~
kʊkbʊk:cookbook;kʊ:coo,k:k,bʊ:boo,k:k;~ʊ~1,~ʊ~1,~
kʊk:cook;kʊ:coo,k:k;~ʊ~1,~
kɪk:kick;kɪ:ki,k:ck;~ɪ~1,~
kɔl:call;kɔ:ca,l:ll;~ɔ~1,~
kɪl:kill;kɪ:ki,l:ll;~ɪ~1,~
kɔld:called;kɔ:ca,ld:lled;~ɔ~2,~
kɪld:killed;kɪ:ki,ld:lled;~ɪ~1,~
kɪloʊ:kilo;kɪ:ki,loʊ:lo;~ɪ~oʊ~
kʌltəveɪt:cultivate;kʌ:cu,ltə:lti,veɪ:va,t:te;~ʌ~ə~eɪ~1,~
kʌltɪveɪtəɹ:cultivator;kʌ:cu,ltɪ:lti,veɪ:va,tə:to,ɹ:r;~ʌ~ɪ~eɪ~ə~1,~
kʌltʃəɹ:culture;kʌ:cu,ltʃə:ltu,ɹ:re;~ʌ~ə~1,~
kɑlɪdʒ:college;kɑ:co,lɪ:lle,dʒ:ge;~ɑ~ɪ~1,~
kɑlənɪ:colony;kɑ:co,lə:lo,nɪ:ny;~ɑ~ə~ɪ~
kɑləɹ:collar;kɑ:co,lə:lla,ɹ:r;~ɑ~ə~1,~
kɑlɪɡ:colleague;kɑ:co,lɪ:llea,ɡ:gue;~ɑ~ɪ~1,~
kʌləɹ:color;kʌ:co,lə:lo,ɹ:r;~ʌ~ə~1,~
kʌləɹ:colour;kʌ:co,lə:lou,ɹ:r;~ʌ~ə~1,~
kɪləɡɹæm:kilogram;kɪ:ki,lə:lo,ɡɹæ:gra,m:m;~ɪ~ə~æ~1,~
kɑləʊ:calo;kɑ:ca,ləʊ:lo;~ɑ~əʊ~
kɑm:calm;kɑ:cal,m:m;~ɑ~1,~
kʌm:come;kʌ:co,m:me;~ʌ~1,~
kɑmbaɪn:combine;kɑ:co,mbaɪ:mbi,n:ne;~ɑ~aɪ~1,~
kʌmfɪ:comfy;kʌ:co,mfɪ:mfy;~ʌ~ɪ~
kʌmfəɹt:comfort;kʌ:co,mfə:mfo,ɹt:rt;~ʌ~ə~1,~
kʌmfəɹtəbl:comfortable;kʌ:co,mfə:mfo,ɹtə:rta,bl:ble;~ʌ~ə~ə~1,~
kɛmp:kempe;kɛ:ke,mp:mpe;~ɛ~1,~
kɑmpaʊnd:compound;kɑ:co,mpaʊ:mpou,nd:nd;~ɑ~aʊ~1,~
kɑmpləkeɪt:complicate;kɑ:co,mplə:mpli,keɪ:ca,t:te;~ɑ~ə~eɪ~1,~
kɑmpləkeɪtəd:complicated;kɑ:co,mplə:mpli,keɪ:ca,tə:te,d:d;~ɑ~ə~eɪ~ə~1,~
kɑmplɛks:complex;kɑ:co,mplɛ:mple,ks:x;~ɑ~ɛ~1,~
kʌmpəni:company;kʌ:co,mpə:mpa,ni:ny;~ʌ~ə~i~
kʌmpəniz:companies;kʌ:co,mpə:mpa,ni:nie,z:s;~ʌ~ə~i~1,~
kɑmpɹɛsəz:compresses;kɑ:co,mpɹɛ:mpre,sə:sse,z:s;~ɑ~ɛ~ə~1,~
kʌmz:comes;kʌ:co,mz:mes;~ʌ~1,~
kɑmə:comma;kɑ:co,mə:mma;~ɑ~ə~
kɛmɪkəl:chemical;kɛ:che,mɪ:mi,kə:ca,l:l;~ɛ~ɪ~ə~1,~
kɑmən:common;kɑ:co,mə:mmo,n:n;~ɑ~ə~1,~
kɑmɛnt:comment;kɑ:co,mɛ:mme,nt:nt;~ɑ~ɛ~1,~
kɛmɪstɹɪ:chemistry;kɛ:che,mɪ:mi,stɹɪ:stry;~ɛ~ɪ~ɪ~
kɑmɪz:commies;kɑ:co,mɪ:mmie,z:s;~ɑ~ɪ~1,~
kʌmɪŋ:coming;kʌ:co,mɪ:mi,ŋ:ng;~ʌ~ɪ~1,~
kɑməɹs:commerce;kɑ:co,mə:mme,ɹs:rce;~ɑ~ə~1,~
kɑndəkt:conduct;kɑ:co,ndə:ndu,kt:ct;~ɑ~ə~1,~
kɑnfədɛns:confidence;kɑ:co,nfə:nfi,dɛ:de,ns:nce;~ɑ~ə~ɛ~1,~
kɑnfədənt:confident;kɑ:co,nfə:nfi,də:de,nt:nt;~ɑ~ə~ə~1,~
kɑnfədɛnsɪz:confidences;kɑ:co,nfə:nfi,dɛ:de,nsɪ:nce,z:s;~ɑ~ə~ɛ~ɪ~1,~
kɑnfəɹəns:conference;kɑ:co,nfə:nfe,ɹə:re,ns:nce;~ɑ~ə~ə~1,~
kɑnfəɹɛns:conference;kɑ:co,nfə:nfe,ɹɛ:re,ns:nce;~ɑ~ə~ɛ~1,~
kɑnstɑɹ:constar;kɑ:co,nstɑ:nsta,ɹ:r;~ɑ~ɑ~1,~
kɑnsənənt:consonant;kɑ:co,nsə:nso,nə:na,nt:nt;~ɑ~ə~ə~1,~
kɑnsəɹt:concert;kɑ:co,nsə:nce,ɹt:rt;~ɑ~ə~1,~
kɑntækt:contact;kɑ:co,ntæ:nta,kt:ct;~ɑ~æ~2,~
kɑntɛnt:content;kɑ:co,ntɛ:nte,nt:nt;~ɑ~ɛ~2,~
kɑntɛnts:contents;kɑ:co,ntɛ:nte,nts:nts;~ɑ~ɛ~1,~
kɑntɹæst:contrast;kɑ:co,ntɹæ:ntra,st:st;~ɑ~æ~1,~
kɑntɹækt:contract;kɑ:co,ntɹæ:ntra,kt:ct;~ɑ~æ~1,~
kʌntɹɪ:country;kʌ:cou,ntɹɪ:ntry;~ʌ~ɪ~
kʌntɹɪz:countries;kʌ:cou,ntɹɪ:ntrie,z:s;~ʌ~ɪ~1,~
kɪnə:kyna;kɪ:ky,nə:na;~ɪ~ə~
kɑnʃəns:conscience;kɑ:co,nʃə:nscie,ns:nce;~ɑ~ə~1,~
kɑnʃəs:conscious;kɑ:co,nʃə:nsciou,s:s;~ɑ~ə~1,~
kʌp:cup;kʌ:cu,p:p;~ʌ~1,~
kʌpl:couple;kʌ:cou,pl:ple;~ʌ~1,~
kɑpɪ:copy;kɑ:co,pɪ:py;~ɑ~ɪ~
kɑpəɹ:copper;kɑ:co,pə:ppe,ɹ:r;~ɑ~ə~1,~
kɑpəɹz:copper's;kɑ:co,pə:ppe,ɹz:r's;~ɑ~ə~1,~
kɪs:kiss;kɪ:ki,s:ss;~ɪ~1,~
kɑst:cost;kɑ:co,st:st;~ɑ~1,~
kɑsts:costs;kɑ:co,sts:sts;~ɑ~2,~
kʌstəm:custom;kʌ:cu,stə:sto,m:m;~ʌ~ə~1,~
kʌstəməɹ:customer;kʌ:cu,stə:sto,mə:me,ɹ:r;~ʌ~ə~ə~1,~
kʌstəməɹz:customers;kʌ:cu,stə:sto,mə:me,ɹz:rs;~ʌ~ə~ə~2,~
kʌstəmɛɹɪ:customary;kʌ:cu,stə:sto,mɛ:ma,ɹɪ:ry;~ʌ~ə~ɛ~ɪ~
kʌt:cut;kʌ:cu,t:t;~ʌ~1,~
kɑtədʒ:cottage;kɑ:co,tə:tta,dʒ:ge;~ɑ~ə~1,~
kɑtɪdʒɪz:cottages;kɑ:co,tɪ:tta,dʒɪ:ge,z:s;~ɑ~ɪ~ɪ~1,~
kɑtən:cotton;kɑ:co,tə:tto,n:n;~ɑ~ə~1,~
kʌtɪŋ:cutting;kʌ:cu,tɪ:tti,ŋ:ng;~ʌ~ɪ~1,~
kɪtʃən:kitchen;kɪ:ki,tʃə:tche,n:n;~ɪ~ə~1,~
kʌvəɹ:cover;kʌ:co,və:ve,ɹ:r;~ʌ~ə~2,~
kʌwəɹd:coward;kʌ:co,wə:wa,ɹd:rd;~ʌ~ə~1,~
kʌwəɹdlɪ:cowardly;kʌ:co,wə:wa,ɹdlɪ:rdly;~ʌ~ə~ɪ~
kɑz:cause;kɑ:cau,z:se;~ɑ~1,~
kɔzd:caused;kɔ:cau,zd:sed;~ɔ~1,~
kʌzn:cousin;kʌ:cou,zn:sin;~ʌ~1,~
kʌzən:cousin;kʌ:cou,zə:si,n:n;~ʌ~ə~1,~
kɛɹfəl:careful;kɛ:ca,ɹ:re,fə:fu,l:l;~ɛ~1,~ə~1,~
kɑɹlɪ:carly;kɑ:ca,ɹ:r,lɪ:ly;~ɑ~1,~ɪ~
kɛɹlɛs:careless;kɛ:ca,ɹ:re,lɛ:le,s:ss;~ɛ~1,~ɛ~1,~
kɑɹ:car;kɑ:ca,ɹ:r;~ɑ~1,~
