æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
həbɪtʃʊəl:habitual;h:h,əb:ab,ɪtʃ:it,ʊ:u,əl:al;~~ə~ɪ~ʊ~ə~
həloʊ:hello;h:h,əl:ell,oʊ:o;~~ə~oʊ~
hɪmsɛlf:himself;h:h,ɪms:ims,ɛlf:elf;~~ɪ~ɛ~
hɪstɔɹɪkəl:historical;h:h,ɪst:ist,ɔɹ:or,ɪk:ic,əl:al;~~ɪ~ɔ~ɪ~ə~
həɹsɛlf:herself;h:h,əɹs:ers,ɛlf:elf;~~ə~ɛ~
həɹz:hers;h:h,əɹz:ers;~~ə~
hɪɡɪnbɑθəm:higginbotham;h:h,ɪɡ:igg,ɪn:in,b:b,ɑθ:oth,əm:am;~~ɪ~ɪ~~ɑ~ə~
hʊɹɑ:hurrah;h:h,ʊɹ:urr,ɑ:ah;~~ʊ~ɑ~
hɛd:head;h:h,ɛd:ead;~~ɛ~
hɛdeɪk:headache;h:h,ɛd:ead,eɪk:ache;~~ɛ~eɪ~
hʌdl:huddle;h:h,ʌdl:uddle;~~ʌ~
hɛdz:head's;h:h,ɛdz:ead's;~~ɛ~
hɛdɹɛs:headdress;h:h,ɛdɹ:eaddr,ɛs:ess;~~ɛ~ɛ~
hɑfləɹ:hofler;h:h,ɑfl:ofl,əɹ:er;~~ɑ~ə~
hʌfɪ:huffy;h:h,ʌf:uff,ɪ:y;~~ʌ~ɪ~
hʊk:hook;h:h,ʊk:ook;~~ʊ~
ɪlnəs:illness;:,ɪl:ill,n:n,əs:ess;~~ɪ~~ə~
hɔl:hall;h:h,ɔl:all;~~ɔ~
hɪl:hill;h:h,ɪl:ill;~~ɪ~
hɛld:held;h:h,ɛld:eld;~~ɛ~
hɛlp:help;h:h,ɛlp:elp;~~ɛ~
hɛlpfəl:helpful;h:h,ɛlpf:elpf,əl:ul;~~ɛ~ə~
hɛlθ:health;h:h,ɛlθ:ealth;~~ɛ~
hɑlɪdeɪ:holiday;h:h,ɑl:ol,ɪd:id,eɪ:ay;~~ɑ~ɪ~eɪ~
hɛlθɪ:healthy;h:h,ɛlθ:ealth,ɪ:y;~~ɛ~ɪ~
hɑləʊ:hollow;h:h,ɑl:oll,əʊ:ow;~~ɑ~əʊ~
hɛm:hemme;h:h,ɛm:emme;~~ɛ~
hɪm:him;h:h,ɪm:im;~~ɪ~
hʌm:humm;h:h,ʌm:umm;~~ʌ~
hʌmbl:humble;h:h,ʌmbl:umble;~~ʌ~
hʌmfɹɪ:humfrey;h:h,ʌmfɹ:umfr,ɪ:ey;~~ʌ~ɪ~
hɛn:hen;h:h,ɛn:en;~~ɛ~
hɪndəɹ:hinder;h:h,ɪnd:ind,əɹ:er;~~ɪ~ə~
hʌndɹɛd:hundred;h:h,ʌndɹ:undr,ɛd:ed;~~ʌ~ɛ~
hʌndɹɛdz:hundreds;h:h,ʌndɹ:undr,ɛdz:eds;~~ʌ~ɛ~
hʌndɹɛdθ:hundredth;h:h,ʌndɹ:undr,ɛdθ:edth;~~ʌ~ɛ~
hɪndɹəns:hindrance;h:h,ɪndɹ:indr,əns:ance;~~ɪ~ə~
hʌnt:hunt;h:h,ʌnt:unt;~~ʌ~
hɑps:hops;h:h,ɑps:ops;~~ɑ~
hɑspɪtəl:hospital;h:h,ɑsp:osp,ɪt:it,əl:al;~~ɑ~ɪ~ə~
hɪstəɹɪ:history;h:h,ɪst:ist,əɹ:or,ɪ:y;~~ɪ~ə~ɪ~
hɪt:hit;h:h,ɪt:it;~~ɪ~
hɑt:hot;h:h,ɑt:ot;~~ɑ~
hʌt:hut;h:h,ʌt:ut;~~ʌ~
hɑtwaɪəɹd:hotwired;h:h,ɑtw:otw,aɪ:i,əɹd:red;~~ɑ~aɪ~ə~
hɛtɹɪk:hettrick;h:h,ɛtɹ:ettr,ɪk:ick;~~ɛ~ɪ~
hɛvnlɪ:heavenly;h:h,ɛvn:eaven,l:l,ɪ:y;~~ɛ~~ɪ~
hɛvn:heaven;h:h,ɛvn:eaven;~~ɛ~
hɛvɪ:heavy;h:h,ɛv:eav,ɪ:y;~~ɛ~ɪ~
hɛvənlɪ:heavenly;h:h,ɛv:eav,ən:en,l:l,ɪ:y;~~ɛ~ə~~ɪ~
hɛvən:heaven;h:h,ɛv:eav,ən:en;~~ɛ~ə~
hɪz:his;h:h,ɪz:is;~~ɪ~
hʌzbənd:husband;h:h,ʌzb:usb,ənd:and;~~ʌ~ə~
hɛzəteɪt:hesitate;h:h,ɛz:es,ət:it,eɪt:ate;~~ɛ~ə~eɪ~
hɜɹ:her;h:h,ɜɹ:er;~~ɜ~
hɛə:hair;h:h,ɛ:ai,ə:r;~~ɛ~ə~
hɑɹbəɹ:harbor;h:h,ɑɹb:arb,əɹ:or;~~ɑ~ə~
hɑɹdʃɪp:hardship;h:h,ɑɹd:ard,ʃ:sh,ɪp:ip;~~ɑ~~ɪ~
hɑɹd:hard;h:h,ɑɹd:ard;~~ɑ~
hɜɹd:heard;h:h,ɜɹd:eard;~~ɜ~
hɑɹdlɪ:hardly;h:h,ɑɹdl:ardl,ɪ:y;~~ɑ~ɪ~
hɑɹdn:harden;h:h,ɑɹdn:arden;~~ɑ~
hɑɹdən:harden;h:h,ɑɹd:ard,ən:en;~~ɑ~ə~
hʌŋk:hunk;h:h,ʌŋk:unk;~~ʌ~
hɑɹm:harm;h:h,ɑɹm:arm;~~ɑ~
hɑɹmfəl:harmful;h:h,ɑɹmf:armf,əl:ul;~~ɑ~ə~
hɑɹmləs:harmless;h:h,ɑɹml:arml,əs:ess;~~ɑ~ə~
hɔɹn:horn;h:h,ɔɹn:orn;~~ɔ~
hɜɹnɪ:hurney;h:h,ɜɹn:urn,ɪ:ey;~~ɜ~ɪ~
hɑɹpəɹz:harpers;h:h,ɑɹp:arp,əɹz:ers;~~ɑ~ə~
hɔɹs:horse;h:h,ɔɹs:orse;~~ɔ~
hɔɹsɪz:horses;h:h,ɔɹs:ors,ɪz:es;~~ɔ~ɪ~
hɑɹt:heart;h:h,ɑɹt:eart;~~ɑ~
hɜɹt:hurt;h:h,ɜɹt:urt;~~ɜ~
hɜɹtlɪŋ:hurtling;h:hur,ɜɹtl:tl,ɪŋ:ing;~~ɜ~ɪ~
hɑɹvəst:harvest;h:h,ɑɹv:arv,əst:est;~~ɑ~ə~
hɛɹɪ:hairy;h:h,ɛɹ:air,ɪ:y;~~ɛ~ɪ~
hʌɡɪ:hughey;h:h,ʌɡ:ugh,ɪ:ey;~~ʌ~ɪ~
hɜɹɪ:hurry;h:h,ɜɹ:urr,ɪ:y;~~ɜ~ɪ~
hɛɹɪsənz:harrison's;h:h,ɛɹ:arr,ɪs:is,ənz:on's;~~ɛ~ɪ~ə~
hɛɹɪtɪdʒ:heritage;h:h,ɛɹ:er,ɪt:it,ɪdʒ:age;~~ɛ~ɪ~ɪ~
hɜɹɪŋ:heuring;h:h,ɜɹ:eur,ɪŋ:ing;~~ɜ~ɪ~
hʌŋɡəɹ:hunger;h:h,ʌŋɡ:ung,əɹ:er;~~ʌ~ə~
hʌŋɡɹɪ:hungry;h:h,ʌŋɡɹ:ungr,ɪ:y;~~ʌ~ɪ~
hɑnəluluz:honolulu's;h:h,ɑn:on,əl:ol,ul:ul,uz:u's;~~ɑ~ə~u~u~
hɛzəteɪʃən:hesitation;h:h,ɛz:es,ət:it,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
hɔɹəzɑntəl:horizontal;h:h,ɔɹ:or,əz:iz,ɑnt:ont,əl:al;~~ɔ~ə~ɑ~ə~
həʊtɛl:hotel;h:h,əʊt:ot,ɛl:el;~~əʊ~ɛ~
ikwɔl:equal;:,ikw:equ,ɔl:al;~~i~ɔ~
ist:east;:,ist:east;~~i~
istəɹn:eastern;:,ist:east,əɹn:ern;~~i~ə~
it:eat;:,it:eat;~~i~
itʃ:each;:,itʃ:each;~~i~
itən:eaten;:,it:eat,ən:en;~~i~ə~
ivn:even;:,ivn:even;~~i~
ivnɪŋ:evening;:,ivn:even,ɪŋ:ing;~~i~ɪ~
ivəl:evil;:,iv:ev,əl:il;~~i~ə~
iz:ease;:,iz:ease;~~i~
izɪ:easy;:,iz:eas,ɪ:y;~~i~ɪ~
izəlɪ:easily;:,iz:eas,əl:il,ɪ:y;~~i~ə~ɪ~
iðəɹ:either;:,ið:eith,əɹ:er;~~i~ə~
iə:ear;:,i:ea,ə:r;~~i~ə~
iɡəɹ:eager;:,iɡ:eag,əɹ:er;~~i~ə~
juɹ:you're;j:y,uɹ:ou're;~~u~
jʊnoʊ:y'know;j:,ʊn:y'kn,oʊ:ow;~~ʊ~oʊ~
kæmpeɪn:campaign;k:c,æmp:amp,eɪn:aign;~~æ~eɪ~
kæɹɪə:career;k:c,æɹ:ar,ɪ:ee,ə:r;~~æ~ɪ~ə~
kælkjəleɪt:calculate;k:c,ælkj:alc,əl:ul,eɪt:ate;~~æ~ə~eɪ~
kælkjəleɪtəɹ:calculator;k:c,ælkj:alc,əl:ul,eɪt:at,əɹ:or;~~æ~ə~eɪ~ə~
kæləmaɪnz:calamine's;k:c,æl:al,əm:am,aɪnz:ine's;~~æ~ə~aɪ~
kæmbɛl:campbell;k:c,æmb:ampb,ɛl:ell;~~æ~ɛ~
kæmp:camp;k:c,æmp:amp;~~æ~
kæmɛɹə:camera;k:c,æm:am,ɛɹ:er,ə:a;~~æ~ɛ~ə~
kæn:can;k:c,æn:an;~~æ~
kændl:candle;k:c,ændl:andle;~~æ~
kænsəɹ:cancer;k:c,æns:anc,əɹ:er;~~æ~ə~
kænt:can't;k:c,ænt:an't;~~æ~
kænt:kandt;k:k,ænt:andt;~~æ~
kænədə:canada;k:c,æn:an,əd:ad,ə:a;~~æ~ə~ə~
kæp:cap;k:c,æp:ap;~~æ~
kæptɛn:captain;k:c,æpt:apt,ɛn:ain;~~æ~ɛ~
kæpɪtəl:capital;k:c,æp:ap,ɪt:it,əl:al;~~æ~ɪ~ə~
kæsl:castle;k:c,æsl:astle;~~æ~
kæsɪs:kassis;k:k,æs:ass,ɪs:is;~~æ~ɪ~
kæt:cat;k:c,æt:at;~~æ~
kætl:cattle;k:c,ætl:attle;~~æ~
kætʃ:catch;k:c,ætʃ:atch;~~æ~
kawəɹdəs:cowardice;k:c,aw:ow,əɹd:ard,əs:ice;~~a~ə~ə~
kæɹæktəɹ:character;k:ch,æɹ:ar,ækt:act,əɹ:er;~~æ~æ~ə~
kæɹɪ:carry;k:c,æɹ:arr,ɪ:y;~~æ~ɪ~
kælkjʊleɪʃən:calculation;k:c,ælkj:alc,ʊl:ul,eɪʃ:at,ən:ion;~~æ~ʊ~eɪ~ə~
kaʊ:cow;k:c,aʊ:ow;~~aʊ~
kaɪnd:kind;k:k,aɪnd:ind;~~aɪ~
kaɪndz:kinds;k:k,aɪndz:inds;~~aɪ~
kaʊnsəl:council;k:c,aʊns:ounc,əl:il;~~aʊ~ə~
kaʊnt:count;k:c,aʊnt:ount;~~aʊ~
kaʊntɪ:county;k:c,aʊnt:ount,ɪ:y;~~aʊ~ɪ~
kaʊntəɹfɪtəɹz:counterfeiters;k:c,aʊnt:ount,əɹ:er,f:f,ɪt:eit,əɹz:ers;~~aʊ~ə~~ɪ~ə~
kaʊnəɹtʃɑɹdʒɪz:countercharges;k:c,aʊn:ount,əɹ:er,tʃ:ch,ɑɹdʒ:arg,ɪz:es;~~aʊ~ə~~ɑ~ɪ~
kaɪnəɹ:kiner;k:k,aɪn:in,əɹ:er;~~aɪ~ə~
keɪ:kay;k:k,eɪ:ay;~~eɪ~
keɪ:quai;k:qu,eɪ:ai;~~eɪ~
keɪdʒ:cage;k:c,eɪdʒ:age;~~eɪ~
keɪk:cake;k:c,eɪk:ake;~~eɪ~
keɪm:came;k:c,eɪm:ame;~~eɪ~
keɪnz:keynes;k:k,eɪnz:eynes;~~eɪ~
keɪp:cape;k:c,eɪp:ape;~~eɪ~
keɪs:case;k:c,eɪs:ase;~~eɪ~
keɪsɪz:cases;k:c,eɪs:as,ɪz:es;~~eɪ~ɪ~
keɪv:cave;k:c,eɪv:ave;~~eɪ~
keɪzəɹ:kayser;k:k,eɪz:ays,əɹ:er;~~eɪ~ə~
ki:key;k:k,i:ey;~~i~
kin:keen;k:k,in:een;~~i~
kip:keep;k:k,ip:eep;~~i~
kiz:kee's;k:k,iz:ee's;~~i~
klæs:class;kl:cl,æs:ass;~~æ~
klæsp:clasp;kl:cl,æsp:asp;~~æ~
klæsəfaɪ:classify;kl:cl,æs:ass,əf:if,aɪ:y;~~æ~ə~aɪ~
klæsəfəkeɪʃən:classification;kl:cl,æs:ass,əf:if,ək:ic,eɪʃ:at,ən:ion;~~æ~ə~ə~eɪ~ə~
klaʊd:cloud;kl:cl,aʊd:oud;~~aʊ~
klaɪm:climb;kl:cl,aɪm:imb;~~aɪ~
klaɪmət:climate;kl:cl,aɪm:im,ət:ate;~~aɪ~ə~
klaɪənt:client;kl:cl,aɪ:i,ənt:ent;~~aɪ~ə~
kleɪ:clay;kl:cl,eɪ:ay;~~eɪ~
kleɪm:claim;kl:cl,eɪm:aim;~~eɪ~
klin:clean;kl:cl,in:ean;~~i~
kliʃeɪd:cliched;kl:cl,iʃ:ich,eɪd:ed;~~i~eɪ~
kloʊs:close;kl:cl,oʊs:ose;~~oʊ~
kloʊð:clothe;kl:cl,oʊð:othe;~~oʊ~
kloʊðz:clothes;kl:cl,oʊðz:othes;~~oʊ~
kloʊðɪŋ:clothing;kl:cl,oʊð:oth,ɪŋ:ing;~~oʊ~ɪ~
klʌb:club;kl:cl,ʌb:ub;~~ʌ~
klɪf:cliff;kl:cl,ɪf:iff;~~ɪ~
klɑkwɜɹk:clockwork;kl:cl,ɑk:ock,w:w,ɜɹk:ork;~~ɑ~~ɜ~
klɪk:click;kl:cl,ɪk:ick;~~ɪ~
klɑk:clock;kl:cl,ɑk:ock;~~ɑ~
klʌkɪŋ:clucking;kl:cl,ʌk:uck,ɪŋ:ing;~~ʌ~ɪ~
klɛvəɹ:clever;kl:cl,ɛv:ev,əɹ:er;~~ɛ~ə~
klɔθ:cloth;kl:cl,ɔθ:oth;~~ɔ~
klɪə:clear;kl:cl,ɪ:ea,ə:r;~~ɪ~ə~
klɜɹk:clerk;kl:cl,ɜɹk:erk;~~ɜ~
klʌŋkəɹz:clunkers;kl:cl,ʌŋk:unk,əɹz:ers;~~ʌ~ə~
koʊbɔlt:cobalt;k:c,oʊb:ob,ɔlt:alt;~~oʊ~ɔ~
koʊd:code;k:c,oʊd:ode;~~oʊ~
koʊl:coal;k:c,oʊl:oal;~~oʊ~
koʊld:cold;k:c,oʊld:old;~~oʊ~
koʊlt:colt;k:c,oʊlt:olt;~~oʊ~
koʊm:comb;k:c,oʊm:omb;~~oʊ~
koʊn:cohn;k:c,oʊn:ohn;~~oʊ~
koʊnən:kohnen;k:k,oʊn:ohn,ən:en;~~oʊ~ə~
koʊst:coast;k:c,oʊst:oast;~~oʊ~
koʊt:coat;k:c,oʊt:oat;~~oʊ~
koʊəlɛsɪz:coalesces;k:c,oʊ:o,əl:al,ɛs:esc,ɪz:es;~~oʊ~ə~ɛ~ɪ~
koʊəlɪʃənz:coalitions;k:c,oʊ:o,əl:al,ɪʃ:it,ənz:ions;~~oʊ~ə~ɪ~ə~
kul:cool;k:c,ul:ool;~~u~
kulz:cools;k:c,ulz:ools;~~u~
kwaɪt:quite;kw:qu,aɪt:ite;~~aɪ~
kwaɪɛt:quiet;kw:qu,aɪ:i,ɛt:et;~~aɪ~ɛ~
kweɪzaɪ:quasi;kw:qu,eɪz:as,aɪ:i;~~eɪ~aɪ~
kwin:queen;kw:qu,in:een;~~i~
kwɪklɪ:quickly;kw:qu,ɪk:ick,l:l,ɪ:y;~~ɪ~~ɪ~
kwɪk:quick;kw:qu,ɪk:ick;~~ɪ~
kwɑləfaɪ:qualify;kw:qu,ɑl:al,əf:if,aɪ:y;~~ɑ~ə~aɪ~
kwɑləfaɪɪŋ:qualifying;kw:qu,ɑl:al,əf:if,aɪ:y,ɪŋ:ing;~~ɑ~ə~aɪ~ɪ~
kwɑlətɪ:quality;kw:qu,ɑl:al,ət:it,ɪ:y;~~ɑ~ə~ɪ~
kwɑn:kuan;kw:ku,ɑn:an;~~ɑ~
kwɑntətɪ:quantity;kw:qu,ɑnt:ant,ət:it,ɪ:y;~~ɑ~ə~ɪ~
kwɛstʃən:question;kw:qu,ɛstʃ:est,ən:ion;~~ɛ~ə~
kwɛstʃənz:questions;kw:qu,ɛstʃ:est,ənz:ions;~~ɛ~ə~
kwɑsɪ:quasi;kw:qu,ɑs:as,ɪ:i;~~ɑ~ɪ~
kwɔɹt:quart;kw:qu,ɔɹt:art;~~ɔ~
kwɔɹtəɹ:quarter;kw:qu,ɔɹt:art,əɹ:er;~~ɔ~ə~
kwɔɹtəɹbæk:quarterback;kw:qu,ɔɹt:art,əɹb:erb,æk:ack;~~ɔ~ə~æ~
kwɔɹəl:quarrel;kw:qu,ɔɹ:arr,əl:el;~~ɔ~ə~
kwɑləfəkeɪʃən:qualification;kw:qu,ɑl:al,əf:if,ək:ic,eɪʃ:at,ən:ion;~~ɑ~ə~ə~eɪ~ə~
kwɑlɪteɪtɪvlɪ:qualitatively;kw:qu,ɑl:al,ɪt:it,eɪt:at,ɪvl:ivel,ɪ:y;~~ɑ~ɪ~eɪ~ɪ~ɪ~
kjusəʊ:cuso;kj:c,us:us,əʊ:o;~~u~əʊ~
kjʊə:cure;kj:c,ʊ:u,ə:re;~~ʊ~ə~
kjʊɹɪəs:curious;kj:c,ʊɹ:ur,ɪ:i,əs:ous;~~ʊ~ɪ~ə~
kəlɛkt:collect;k:c,əl:oll,ɛkt:ect;~~ə~ɛ~
kəlɛktəɹ:collector;k:c,əl:oll,ɛkt:ect,əɹ:or;~~ə~ɛ~ə~
kəlɛkʃən:collection;k:c,əl:oll,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
kəlɑmbʌs:columbus;k:c,əl:ol,ɑmb:umb,ʌs:us;~~ə~ɑ~ʌ~
kəlɑmətəɹ:kilometer;k:k,əl:il,ɑm:om,ət:et,əɹ:er;~~ə~ɑ~ə~ə~
kəlɪɡɹəfɪ:calligraphy;k:c,əl:all,ɪɡɹ:igr,əf:aph,ɪ:y;~~ə~ɪ~ə~ɪ~
kəmænd:command;k:c,əm:omm,ænd:and;~~ə~æ~
kəmbaɪnəbl:combinable;k:c,əmb:omb,aɪn:in,əbl:able;~~ə~aɪ~ə~
kəmpænjənʃɪp:companionship;k:c,əmp:omp,ænj:an,ənʃ:ionsh,ɪp:ip;~~ə~æ~ə~ɪ~
kəmpænɪən:companion;k:c,əmp:omp,æn:an,ɪ:i,ən:on;~~ə~æ~ɪ~ə~
kəmpæʃən:compassion;k:c,əmp:omp,æʃ:ass,ən:ion;~~ə~æ~ə~
kəmpit:compete;k:c,əmp:omp,it:ete;~~ə~i~
kəmpleɪn:complain;k:c,əmpl:ompl,eɪn:ain;~~ə~eɪ~
kəmpleɪnt:complaint;k:c,əmpl:ompl,eɪnt:aint;~~ə~eɪ~
kəmplit:complete;k:c,əmpl:ompl,it:ete;~~ə~i~
kəmplitlɪ:completely;k:c,əmpl:ompl,itl:etel,ɪ:y;~~ə~i~ɪ~
kəmpliʃən:completion;k:c,əmpl:ompl,iʃ:et,ən:ion;~~ə~i~ə~
kəmpoʊz:compose;k:c,əmp:omp,oʊz:ose;~~ə~oʊ~
kəmpjutəɹ:computer;k:c,əmpj:omp,ut:ut,əɹ:er;~~ə~u~ə~
kəmpjutəɹz:computers;k:c,əmpj:omp,ut:ut,əɹz:ers;~~ə~u~ə~
kəmpɛtətəɹ:competitor;k:c,əmp:omp,ɛt:et,ət:it,əɹ:or;~~ə~ɛ~ə~ə~
kəmpɛə:compare;k:c,əmp:omp,ɛ:a,ə:re;~~ə~ɛ~ə~
kəmpɛɹəsən:comparison;k:c,əmp:omp,ɛɹ:ar,əs:is,ən:on;~~ə~ɛ~ə~ə~
kəmjunətɪ:community;k:c,əmj:omm,un:un,ət:it,ɪ:y;~~ə~u~ə~ɪ~
kəmjunəkeɪʃən:communication;k:c,əmj:omm,un:un,ək:ic,eɪʃ:at,ən:ion;~~ə~u~ə~eɪ~ə~
kəmɪt:commit;k:c,əm:omm,ɪt:it;~~ə~ɪ~
kəmɪtɪ:committee;k:c,əm:omm,ɪt:itt,ɪ:ee;~~ə~ɪ~ɪ~
kəmɪtɪd:committed;k:c,əm:omm,ɪt:itt,ɪd:ed;~~ə~ɪ~ɪ~
kəmɪtɪŋ:committing;k:c,əm:omm,ɪt:itt,ɪŋ:ing;~~ə~ɪ~ɪ~
kəmɪʃən:commission;k:c,əm:omm,ɪʃ:iss,ən:ion;~~ə~ɪ~ə~
kəmɜɹʃəl:commercial;k:c,əm:omm,ɜɹʃ:erc,əl:ial;~~ə~ɜ~ə~
kəmɛməɹeɪʃən:commemoration;k:c,əm:omm,ɛm:em,əɹ:or,eɪʃ:at,ən:ion;~~ə~ɛ~ə~eɪ~ə~
kənæl:canal;k:c,ən:an,æl:al;~~ə~æ~
kəndʌkts:conducts;k:c,ənd:ond,ʌkts:ucts;~~ə~ʌ~
kəndɪʃən:condition;k:c,ənd:ond,ɪʃ:it,ən:ion;~~ə~ɪ~ə~
kəndɪʃənz:conditions;k:c,ənd:ond,ɪʃ:it,ənz:ions;~~ə~ɪ~ə~
kəndɪʃənəlɪ:conditionally;k:c,ənd:ond,ɪʃ:it,ən:ion,əl:all,ɪ:y;~~ə~ɪ~ə~ə~ɪ~
kənfjuz:confuse;k:c,ənfj:onf,uz:use;~~ə~u~
kənfjuʒən:confusion;k:c,ənfj:onf,uʒ:us,ən:ion;~~ə~u~ə~
kənfɛs:confess;k:c,ənf:onf,ɛs:ess;~~ə~ɛ~
kənfɛʃən:confession;k:c,ənf:onf,ɛʃ:ess,ən:ion;~~ə~ɛ~ə~
kənkɑkʃənz:concoctions;k:c,ənk:onc,ɑkʃ:oct,ənz:ions;~~ə~ɑ~ə~
kənstɹʌkʃən:construction;k:c,ənstɹ:onstr,ʌkʃ:uct,ən:ion;~~ə~ʌ~ə~
kənsɪdəɹ:consider;k:c,əns:ons,ɪd:id,əɹ:er;~~ə~ɪ~ə~
kənsɪdəɹd:considered;k:c,əns:ons,ɪd:id,əɹd:ered;~~ə~ɪ~ə~
kənsɪst:consist;k:c,əns:ons,ɪst:ist;~~ə~ɪ~
kənsɜɹn:concern;k:c,əns:onc,ɜɹn:ern;~~ə~ɜ~
kənsɜɹnɪŋ:concerning;k:c,əns:onc,ɜɹn:ern,ɪŋ:ing;~~ə~ɜ~ɪ~
kənsɛpsɪoʊn:concepcion;k:c,əns:onc,ɛps:epc,ɪ:i,oʊn:on;~~ə~ɛ~ɪ~oʊ~
kəntæməneɪʃən:contamination;k:c,ənt:ont,æm:am,ən:in,eɪʃ:at,ən:ion;~~ə~æ~ə~eɪ~ə~
kənteɪn:contain;k:c,ənt:ont,eɪn:ain;~~ə~eɪ~
kəntɪnju:continue;k:c,ənt:ont,ɪnj:in,u:ue;~~ə~ɪ~u~
kəntɪnjuəs:continuous;k:c,ənt:ont,ɪnj:in,u:u,əs:ous;~~ə~ɪ~u~ə~
kəntɹoʊl:control;k:c,əntɹ:ontr,oʊl:ol;~~ə~oʊ~
kəntɹoʊləɹz:controllers;k:c,əntɹ:ontr,oʊl:oll,əɹz:ers;~~ə~oʊ~ə~
kənvinɪɛns:convenience;k:c,ənv:onv,in:en,ɪ:i,ɛns:ence;~~ə~i~ɪ~ɛ~
kənvinɪɛnt:convenient;k:c,ənv:onv,in:en,ɪ:i,ɛnt:ent;~~ə~i~ɪ~ɛ~
kənɛkt:connect;k:c,ən:onn,ɛkt:ect;~~ə~ɛ~
kənɛktɪd:connected;k:c,ən:onn,ɛkt:ect,ɪd:ed;~~ə~ɛ~ɪ~
kənɛkʃən:connection;k:c,ən:onn,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
kənɡɹætʃəleɪt:congratulate;k:c,ənɡɹ:ongr,ætʃ:at,əl:ul,eɪt:ate;~~ə~æ~ə~eɪ~
kənɡɹætʃəleɪʃən:congratulation;k:c,ənɡɹ:ongr,ætʃ:at,əl:ul,eɪʃ:at,ən:ion;~~ə~æ~ə~eɪ~ə~
kɪsɪmɪ:kissimmee;k:k,ɪs:iss,ɪm:imm,ɪ:ee;~~ɪ~ɪ~ɪ~
kɔɹniljɪs:cornelious;k:c,ɔɹn:orn,ilj:el,ɪs:ious;~~ɔ~i~ɪ~
kəɹteɪlmənts:curtailments;k:c,əɹt:urt,eɪlm:ailm,ənts:ents;~~ə~eɪ~ə~
kəɹɛkt:correct;k:c,əɹ:orr,ɛkt:ect;~~ə~ɛ~
kəɹɪkjəlɜɹ:curricular;k:c,əɹ:urr,ɪkj:ic,əl:ul,ɜɹ:ar;~~ə~ɪ~ə~ɜ~
kəɹɛkʃən:correction;k:c,əɹ:orr,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
kəɹɪə:career;k:c,əɹ:ar,ɪ:eer;~~ə~ɪ~ə~
kʌbəɹd:cupboard;k:c,ʌb:upb,əɹd:oard;~~ʌ~ə~
kʊd:could;k:c,ʊd:ould;~~ʊ~
kʌd:cudd;k:c,ʌd:udd;~~ʌ~
kɪd:kid;k:k,ɪd:id;~~ɪ~
kɪdz:kids;k:k,ɪdz:ids;~~ɪ~
kɑf:cough;k:c,ɑf:ough;~~ɑ~
kɑfɪ:coffee;k:c,ɑf:off,ɪ:ee;~~ɑ~ɪ~
kʊkbʊk:cookbook;k:c,ʊk:ook,b:b,ʊk:ook;~~ʊ~~ʊ~
kʊk:cook;k:c,ʊk:ook;~~ʊ~
kɪk:kick;k:k,ɪk:ick;~~ɪ~
kɔl:call;k:c,ɔl:all;~~ɔ~
kɪl:kill;k:k,ɪl:ill;~~ɪ~
kɔld:called;k:c,ɔld:alled;~~ɔ~
kɪld:killed;k:k,ɪld:illed;~~ɪ~
kɪloʊ:kilo;k:k,ɪl:il,oʊ:o;~~ɪ~oʊ~
kʌltəveɪt:cultivate;k:c,ʌlt:ult,əv:iv,eɪt:ate;~~ʌ~ə~eɪ~
kʌltɪveɪtəɹ:cultivator;k:c,ʌlt:ult,ɪv:iv,eɪt:at,əɹ:or;~~ʌ~ɪ~eɪ~ə~
kʌltʃəɹ:culture;k:c,ʌltʃ:ult,əɹ:ure;~~ʌ~ə~
kɑlɪdʒ:college;k:c,ɑl:oll,ɪdʒ:ege;~~ɑ~ɪ~
kɑlənɪ:colony;k:c,ɑl:ol,ən:on,ɪ:y;~~ɑ~ə~ɪ~
kɑləɹ:collar;k:c,ɑl:oll,əɹ:ar;~~ɑ~ə~
kɑlɪɡ:colleague;k:c,ɑl:oll,ɪɡ:eague;~~ɑ~ɪ~
kʌləɹ:color;k:c,ʌl:ol,əɹ:or;~~ʌ~ə~
kʌləɹ:colour;k:c,ʌl:ol,əɹ:our;~~ʌ~ə~
kɪləɡɹæm:kilogram;k:k,ɪl:il,əɡɹ:ogr,æm:am;~~ɪ~ə~æ~
kɑləʊ:calo;k:c,ɑl:al,əʊ:o;~~ɑ~əʊ~
kɑm:calm;k:c,ɑm:alm;~~ɑ~
kʌm:come;k:c,ʌm:ome;~~ʌ~
kɑmbaɪn:combine;k:c,ɑmb:omb,aɪn:ine;~~ɑ~aɪ~
kʌmfɪ:comfy;k:c,ʌmf:omf,ɪ:y;~~ʌ~ɪ~
kʌmfəɹt:comfort;k:c,ʌmf:omf,əɹt:ort;~~ʌ~ə~
kʌmfəɹtəbl:comfortable;k:c,ʌmf:omf,əɹt:ort,əbl:able;~~ʌ~ə~ə~
